
150 ISOTOPES IN NETWORK:

Index  Isotope   A   Z   N  Abundance Y  MassFrac X  MassXS(MeV)
   99      50V  50  23  27  0.00000e+00    0.000000    -49.21800
  100      51V  51  23  28  0.00000e+00    0.000000    -52.19700
  101     48Cr  48  24  24  0.00000e+00    0.000000    -42.81500
  102     49Cr  49  24  25  0.00000e+00    0.000000    -45.32500
  103     50Cr  50  24  26  0.00000e+00    0.000000    -50.25500
  104     51Cr  51  24  27  0.00000e+00    0.000000    -51.44500
  105     52Cr  52  24  28  0.00000e+00    0.000000    -55.41300
  106     53Cr  53  24  29  0.00000e+00    0.000000    -55.28100
  107     54Cr  54  24  30  0.00000e+00    0.000000    -56.92800
  108     50Mn  50  25  25  0.00000e+00    0.000000    -42.62100
  109     51Mn  51  25  26  0.00000e+00    0.000000    -48.23700
  110     52Mn  52  25  27  0.00000e+00    0.000000    -50.70100
  111     53Mn  53  25  28  0.00000e+00    0.000000    -54.68400
  112     54Mn  54  25  29  0.00000e+00    0.000000    -55.55100
  113     55Mn  55  25  30  0.00000e+00    0.000000    -57.70600
  114     52Fe  52  26  26  0.00000e+00    0.000000    -48.32900
  115     53Fe  53  26  27  0.00000e+00    0.000000    -50.94100
  116     54Fe  54  26  28  0.00000e+00    0.000000    -56.24800
  117     55Fe  55  26  29  0.00000e+00    0.000000    -57.47500
  118     56Fe  56  26  30  0.00000e+00    0.000000    -60.60100
  119     57Fe  57  26  31  0.00000e+00    0.000000    -60.17600
  120     58Fe  58  26  32  0.00000e+00    0.000000    -62.14900
  121     53Co  53  27  26  0.00000e+00    0.000000    -42.63900
  122     54Co  54  27  27  0.00000e+00    0.000000    -48.00500
  123     55Co  55  27  28  0.00000e+00    0.000000    -54.02400
  124     56Co  56  27  29  0.00000e+00    0.000000    -56.03500
  125     57Co  57  27  30  0.00000e+00    0.000000    -59.34000
  126     58Co  58  27  31  0.00000e+00    0.000000    -59.84100
  127     59Co  59  27  32  0.00000e+00    0.000000    -62.22400
  128     56Ni  56  28  28  0.00000e+00    0.000000    -53.90000
  129     57Ni  57  28  29  0.00000e+00    0.000000    -56.07500
  130     58Ni  58  28  30  0.00000e+00    0.000000    -60.22300
  131     59Ni  59  28  31  0.00000e+00    0.000000    -61.15100
  132     60Ni  60  28  32  0.00000e+00    0.000000    -64.46800
  133     61Ni  61  28  33  0.00000e+00    0.000000    -64.21700
  134     62Ni  62  28  34  0.00000e+00    0.000000    -66.74300
  135     57Cu  57  29  28  0.00000e+00    0.000000    -47.30500
  136     58Cu  58  29  29  0.00000e+00    0.000000    -51.66000
  137     59Cu  59  29  30  0.00000e+00    0.000000    -56.35200
  138     60Cu  60  29  31  0.00000e+00    0.000000    -58.34100
  139     61Cu  61  29  32  0.00000e+00    0.000000    -61.98000
  140     62Cu  62  29  33  0.00000e+00    0.000000    -62.79400
  141     63Cu  63  29  34  0.00000e+00    0.000000    -65.57600
  142     59Zn  59  30  29  0.00000e+00    0.000000    -47.25700
  143     60Zn  60  30  30  0.00000e+00    0.000000    -54.18300
  144     61Zn  61  30  31  0.00000e+00    0.000000    -56.34200
  145     62Zn  62  30  32  0.00000e+00    0.000000    -61.16700
  146     63Zn  63  30  33  0.00000e+00    0.000000    -62.20900
  147     64Zn  64  30  34  0.00000e+00    0.000000    -65.99900
  148     65Zn  65  30  35  0.00000e+00    0.000000    -65.90800
  149     66Zn  66  30  36  0.00000e+00    0.000000    -68.89600

SUMMARY: 1604 REACTIONS

0 n-->p+e+nubar reacClass=1 #react=1 #prod=1 isEC=0 isReverse=0 Q=0.7823 prefac=1.0000 RGsymb:a<->b
1 n+p-->d reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=2.2244 prefac=1.0000 RGsymb:a+b<->c
2 d-->n+p reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-2.2244 prefac=1.0000 RGsymb:a+b<->c
3 p+d-->n+p+p reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=-2.2250 prefac=1.0000 RGsymb:a+b<->c+d+e
4 p+p+e-->d+nu reacClass=4 #react=2 #prod=1 isEC=1 isReverse=0 Q=1.4421 prefac=0.5000 RGsymb:a+b<->c
5 p+p-->d+e++nu reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=1.4421 prefac=0.5000 RGsymb:a+b<->c
6 p+d-->he3 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.4940 prefac=1.0000 RGsymb:a+b<->c
7 he3-->p+d reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.4940 prefac=1.0000 RGsymb:a+b<->c
8 d+d-->he4 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=23.8470 prefac=0.5000 RGsymb:a+b<->c
9 he4-->d+d reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-23.8470 prefac=1.0000 RGsymb:a+b<->c
10 d+d-->n+he3 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.2690 prefac=0.5000 RGsymb:a+b<->c+d
11 n+he3-->d+d reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-3.2690 prefac=1.0000 RGsymb:a+b<->c+d
12 n+he3-->he4 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=20.5774 prefac=1.0000 RGsymb:a+b<->c
13 he4-->n+he3 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-20.5774 prefac=1.0000 RGsymb:a+b<->c
14 p+he3-->he4+e++nu reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=19.7960 prefac=1.0000 RGsymb:a+b<->c
15 d+he3-->p+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=18.3530 prefac=1.0000 RGsymb:a+b<->c+d
16 d+he3-->p+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=18.3530 prefac=1.0000 RGsymb:a+b<->c+d
17 p+he4-->d+he3 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-18.3530 prefac=1.0000 RGsymb:a+b<->c+d
18 p+he4-->d+he3 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-18.3530 prefac=1.0000 RGsymb:a+b<->c+d
19 he3+he3-->p+p+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=12.8600 prefac=0.5000 RGsymb:a+b<->c+d+e
20 p+p+he4-->he3+he3 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-12.8600 prefac=1.0000 RGsymb:a+b<->c+d+e
21 d+he4-->li6 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=1.4750 prefac=1.0000 RGsymb:a+b<->c
22 d+he4-->li6 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=1.4750 prefac=1.0000 RGsymb:a+b<->c
23 li6-->d+he4 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-1.4750 prefac=1.0000 RGsymb:a+b<->c
24 li6-->d+he4 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-1.4750 prefac=1.0000 RGsymb:a+b<->c
25 he3+he4-->be7 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=1.5880 prefac=1.0000 RGsymb:a+b<->c
26 be7-->he3+he4 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-1.5880 prefac=1.0000 RGsymb:a+b<->c
27 he3+he4-->p+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-4.0180 prefac=1.0000 RGsymb:a+b<->c+d
28 he3+he4-->p+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-4.0180 prefac=1.0000 RGsymb:a+b<->c+d
29 p+li6-->he3+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.0180 prefac=1.0000 RGsymb:a+b<->c+d
30 p+li6-->he3+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.0180 prefac=1.0000 RGsymb:a+b<->c+d
31 he4+he4-->n+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-18.9905 prefac=0.5000 RGsymb:a+b<->c+d
32 n+be7-->he4+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=18.9905 prefac=1.0000 RGsymb:a+b<->c+d
33 he4+he4-->p+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-17.3460 prefac=0.5000 RGsymb:a+b<->c+d
34 he4+he4-->p+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-17.3460 prefac=0.5000 RGsymb:a+b<->c+d
35 p+li7-->he4+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=17.3460 prefac=1.0000 RGsymb:a+b<->c+d
36 p+li7-->he4+he4 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=17.3460 prefac=1.0000 RGsymb:a+b<->c+d
37 n+p+he4-->li6 reacClass=8 #react=3 #prod=1 isEC=0 isReverse=0 Q=3.7000 prefac=1.0000 RGsymb:a+b+c<->d
38 li6-->n+p+he4 reacClass=3 #react=1 #prod=3 isEC=0 isReverse=0 Q=-3.7000 prefac=1.0000 RGsymb:a+b+c<->d
39 n+he4+he4-->be9 reacClass=8 #react=3 #prod=1 isEC=0 isReverse=0 Q=1.5740 prefac=1.0000 RGsymb:a+b+c<->d
40 be9-->n+he4+he4 reacClass=3 #react=1 #prod=3 isEC=0 isReverse=0 Q=-1.5740 prefac=1.0000 RGsymb:a+b+c<->d
41 p+be9-->n+p+he4+he4 reacClass=7 #react=2 #prod=4 isEC=0 isReverse=0 Q=-1.5730 prefac=1.0000 RGsymb:a+b<->c+d+e+f
42 p+be9-->n+p+he4+he4 reacClass=7 #react=2 #prod=4 isEC=0 isReverse=0 Q=-1.5730 prefac=1.0000 RGsymb:a+b<->c+d+e+f
43 n+he4+he4-->d+li7 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-15.1210 prefac=1.0000 RGsymb:a+b<->c+d+e
44 d+li7-->n+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=15.1210 prefac=1.0000 RGsymb:a+b<->c+d+e
45 p+he4+he4-->d+be7 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-16.7660 prefac=1.0000 RGsymb:a+b<->c+d+e
46 d+be7-->p+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=16.7660 prefac=1.0000 RGsymb:a+b<->c+d+e
47 p+he4+he4-->n+b8 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-18.8525 prefac=1.0000 RGsymb:a+b<->c+d+e
48 n+b8-->p+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=18.8525 prefac=1.0000 RGsymb:a+b<->c+d+e
49 d+he4+he4-->p+be9 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-0.6510 prefac=1.0000 RGsymb:a+b<->c+d+e
50 d+he4+he4-->p+be9 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-0.6510 prefac=1.0000 RGsymb:a+b<->c+d+e
51 p+be9-->d+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=0.6510 prefac=1.0000 RGsymb:a+b<->c+d+e
52 p+be9-->d+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=0.6510 prefac=1.0000 RGsymb:a+b<->c+d+e
53 he4+he4+he4-->p+b11 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-8.6820 prefac=0.1667 RGsymb:a+b<->c+d+e
54 he4+he4+he4-->p+b11 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-8.6820 prefac=0.1667 RGsymb:a+b<->c+d+e
55 he4+he4+he4-->p+b11 reacClass=8 #react=3 #prod=2 isEC=0 isReverse=0 Q=-8.6820 prefac=0.1667 RGsymb:a+b<->c+d+e
56 p+b11-->he4+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=8.6820 prefac=1.0000 RGsymb:a+b<->c+d+e
57 p+b11-->he4+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=8.6820 prefac=1.0000 RGsymb:a+b<->c+d+e
58 p+b11-->he4+he4+he4 reacClass=6 #react=2 #prod=3 isEC=0 isReverse=0 Q=8.6820 prefac=1.0000 RGsymb:a+b<->c+d+e
59 he4+he4+he4-->c12 reacClass=8 #react=3 #prod=1 isEC=0 isReverse=0 Q=7.2750 prefac=0.1667 RGsymb:a+b+c<->d
60 he4+he4+he4-->c12 reacClass=8 #react=3 #prod=1 isEC=0 isReverse=0 Q=7.2750 prefac=0.1667 RGsymb:a+b+c<->d
61 c12-->he4+he4+he4 reacClass=3 #react=1 #prod=3 isEC=0 isReverse=0 Q=-7.2750 prefac=1.0000 RGsymb:a+b+c<->d
62 c12-->he4+he4+he4 reacClass=3 #react=1 #prod=3 isEC=0 isReverse=0 Q=-7.2750 prefac=1.0000 RGsymb:a+b+c<->d
63 n+li6-->li7 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=7.2504 prefac=1.0000 RGsymb:a+b<->c
64 li7-->n+li6 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-7.2504 prefac=1.0000 RGsymb:a+b<->c
65 p+li6-->be7 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=5.6060 prefac=1.0000 RGsymb:a+b<->c
66 be7-->p+li6 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-5.6060 prefac=1.0000 RGsymb:a+b<->c
67 he4+li6-->b10 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.4600 prefac=1.0000 RGsymb:a+b<->c
68 he4+li6-->b10 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=4.4600 prefac=1.0000 RGsymb:a+b<->c
69 b10-->he4+li6 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.4600 prefac=1.0000 RGsymb:a+b<->c
70 b10-->he4+li6 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-4.4600 prefac=1.0000 RGsymb:a+b<->c
71 d+li6-->n+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=3.3816 prefac=1.0000 RGsymb:a+b<->c+d
72 n+be7-->d+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-3.3816 prefac=1.0000 RGsymb:a+b<->c+d
73 d+li6-->p+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.0260 prefac=1.0000 RGsymb:a+b<->c+d
74 p+li7-->d+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-5.0260 prefac=1.0000 RGsymb:a+b<->c+d
75 he4+li6-->p+be9 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.1260 prefac=1.0000 RGsymb:a+b<->c+d
76 he4+li6-->p+be9 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.1260 prefac=1.0000 RGsymb:a+b<->c+d
77 p+be9-->he4+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.1260 prefac=1.0000 RGsymb:a+b<->c+d
78 p+be9-->he4+li6 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.1260 prefac=1.0000 RGsymb:a+b<->c+d
79 he4+li7-->b11 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.6640 prefac=1.0000 RGsymb:a+b<->c
80 he4+li7-->b11 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=8.6640 prefac=1.0000 RGsymb:a+b<->c
81 b11-->he4+li7 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.6640 prefac=1.0000 RGsymb:a+b<->c
82 b11-->he4+li7 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-8.6640 prefac=1.0000 RGsymb:a+b<->c
83 p+li7-->n+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.6440 prefac=1.0000 RGsymb:a+b<->c+d
84 p+li7-->n+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.6440 prefac=1.0000 RGsymb:a+b<->c+d
85 n+be7-->p+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.6440 prefac=1.0000 RGsymb:a+b<->c+d
86 n+be7-->p+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.6440 prefac=1.0000 RGsymb:a+b<->c+d
87 he4+li7-->n+b10 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-2.7900 prefac=1.0000 RGsymb:a+b<->c+d
88 n+b10-->he4+li7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=2.7900 prefac=1.0000 RGsymb:a+b<->c+d
89 he3+li7-->n+p+he4+he4 reacClass=7 #react=2 #prod=4 isEC=0 isReverse=0 Q=9.6278 prefac=1.0000 RGsymb:a+b<->c+d+e+f
90 be7+e-->li7+nu reacClass=1 #react=1 #prod=1 isEC=1 isReverse=0 Q=0.8620 prefac=1.0000 RGsymb:a<->b
91 p+be7-->b8 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=0.1370 prefac=1.0000 RGsymb:a+b<->c
92 p+be7-->b8 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=0.1370 prefac=1.0000 RGsymb:a+b<->c
93 b8-->p+be7 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-0.1370 prefac=1.0000 RGsymb:a+b<->c
94 b8-->p+be7 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-0.1370 prefac=1.0000 RGsymb:a+b<->c
95 he4+be7-->p+b10 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.1460 prefac=1.0000 RGsymb:a+b<->c+d
96 he4+be7-->p+b10 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.1460 prefac=1.0000 RGsymb:a+b<->c+d
97 p+b10-->he4+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.1460 prefac=1.0000 RGsymb:a+b<->c+d
98 p+b10-->he4+be7 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.1460 prefac=1.0000 RGsymb:a+b<->c+d
99 he3+be7-->p+p+he4+he4 reacClass=7 #react=2 #prod=4 isEC=0 isReverse=0 Q=11.2721 prefac=1.0000 RGsymb:a+b<->c+d+e+f
100 p+be9-->b10 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.5860 prefac=1.0000 RGsymb:a+b<->c
101 p+be9-->b10 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=6.5860 prefac=1.0000 RGsymb:a+b<->c
102 b10-->p+be9 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.5860 prefac=1.0000 RGsymb:a+b<->c
103 b10-->p+be9 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-6.5860 prefac=1.0000 RGsymb:a+b<->c
104 he4+be9-->n+c12 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.7010 prefac=1.0000 RGsymb:a+b<->c+d
105 he4+be9-->n+c12 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.7010 prefac=1.0000 RGsymb:a+b<->c+d
106 he4+be9-->n+c12 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=5.7010 prefac=1.0000 RGsymb:a+b<->c+d
107 n+c12-->he4+be9 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-5.7010 prefac=1.0000 RGsymb:a+b<->c+d
108 n+c12-->he4+be9 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-5.7010 prefac=1.0000 RGsymb:a+b<->c+d
109 n+c12-->he4+be9 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-5.7010 prefac=1.0000 RGsymb:a+b<->c+d
110 b8-->he4+he4+e++nu reacClass=2 #react=1 #prod=2 isEC=0 isReverse=0 Q=18.0702 prefac=1.0000 RGsymb:a+b<->c
111 n+b10-->b11 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=11.4544 prefac=1.0000 RGsymb:a+b<->c
112 b11-->n+b10 reacClass=2 #react=1 #prod=2 isEC=0 isReverse=1 Q=-11.4544 prefac=1.0000 RGsymb:a+b<->c
113 he4+b10-->n+n13 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=1.0590 prefac=1.0000 RGsymb:a+b<->c+d
114 n+n13-->he4+b10 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=-1.0590 prefac=1.0000 RGsymb:a+b<->c+d
115 he4+b10-->p+c13 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=0 Q=4.0619 prefac=1.0000 RGsymb:a+b<->c+d
116 p+c13-->he4+b10 reacClass=5 #react=2 #prod=2 isEC=0 isReverse=1 Q=-4.0619 prefac=1.0000 RGsymb:a+b<->c+d
117 p+b11-->c12 reacClass=4 #react=2 #prod=1 isEC=0 isReverse=0 Q=15.9570 prefac=1.0000 RGsymb:a+b<->c
